country,essround,year,stfeco_value,share
FR,2,2004.0,2,0.12457142857142857
FR,2,2004.0,3,0.17714285714285713
FR,2,2004.0,4,0.15314285714285714
FR,2,2004.0,5,0.23657142857142857
FR,2,2004.0,6,0.09371428571428571
FR,2,2004.0,7,0.04
FR,2,2004.0,8,0.022857142857142857
FR,2,2004.0,9,0.002285714285714286
FR,2,2004.0,10,0.004571428571428572
FR,2,2004.0,88,0.014857142857142857
FR,2,2005.0,0,0.08807733619763695
FR,2,2005.0,1,0.05263157894736842
FR,2,2005.0,2,0.13963480128893663
FR,2,2005.0,3,0.15682062298603652
FR,2,2005.0,4,0.16004296455424274
FR,2,2005.0,5,0.20622986036519872
FR,2,2005.0,6,0.09774436090225563
FR,2,2005.0,7,0.05263157894736842
FR,2,2005.0,8,0.024704618689581095
FR,2,2005.0,9,0.0053705692803437165
FR,2,2005.0,10,0.00322234156820623
FR,2,2005.0,88,0.01288936627282492
GB,1,2002.0,0,0.02375923970432946
GB,1,2002.0,1,0.025343189017951427
GB,1,2002.0,2,0.061246040126715945
GB,1,2002.0,3,0.10401267159450897
GB,1,2002.0,4,0.12671594508975711
GB,1,2002.0,5,0.18848996832101372
GB,1,2002.0,6,0.15892291446673706
GB,1,2002.0,7,0.15047518479408659
GB,1,2002.0,8,0.09978880675818373
GB,1,2002.0,9,0.017423442449841606
GB,1,2002.0,10,0.01003167898627244
GB,1,2002.0,77,0.0005279831045406547
GB,1,2002.0,88,0.03326293558606125
GB,1,2003.0,0,0.06338028169014084
GB,1,2003.0,1,0.035211267605633804
GB,1,2003.0,2,0.04225352112676056
GB,1,2003.0,3,0.1267605633802817
GB,1,2003.0,4,0.14788732394366197
GB,1,2003.0,5,0.22535211267605634
GB,1,2003.0,6,0.15492957746478872
GB,1,2003.0,7,0.08450704225352113
GB,1,2003.0,8,0.07746478873239436
GB,1,2003.0,9,0.007042253521126761
GB,1,2003.0,10,0.014084507042253521
GB,1,2003.0,88,0.02112676056338028
GB,1,9999.0,5,0.375
GB,1,9999.0,6,0.25
GB,1,9999.0,7,0.1875
GB,1,9999.0,8,0.125
GB,1,9999.0,10,0.0625
GB,2,2004.0,0,0.028460543337645538
GB,2,2004.0,1,0.02328589909443726
GB,2,2004.0,2,0.047865459249676584
GB,2,2004.0,3,0.11060802069857698
GB,2,2004.0,4,0.12871927554980594
GB,2,2004.0,5,0.18175937904269082
GB,2,2004.0,6,0.14747736093143596
GB,2,2004.0,7,0.15976714100905562
GB,2,2004.0,8,0.10478654592496765
GB,2,2004.0,9,0.02328589909443726
GB,2,2004.0,10,0.008408796895213453
GB,2,2004.0,88,0.03557567917205692
GB,2,2005.0,0,0.008547008547008548
GB,2,2005.0,1,0.011396011396011397
GB,2,2005.0,2,0.04843304843304843
GB,2,2005.0,3,0.05982905982905983
GB,2,2005.0,4,0.09686609686609686
GB,2,2005.0,5,0.23076923076923078
GB,2,2005.0,6,0.15669515669515668
GB,2,2005.0,7,0.18233618233618235
GB,2,2005.0,8,0.14245014245014245
GB,2,2005.0,9,0.03133903133903134
GB,2,2005.0,10,0.002849002849002849
GB,2,2005.0,88,0.02849002849002849
GR,1,2003.0,0,0.13990646921278255
GR,1,2003.0,1,0.10054559625876851
GR,1,2003.0,2,0.11808261886204209
GR,1,2003.0,3,0.14536243180046765
GR,1,2003.0,4,0.1270459859703819
GR,1,2003.0,5,0.1523772408417771
GR,1,2003.0,6,0.06936866718628215
GR,1,2003.0,7,0.06703039750584568
GR,1,2003.0,8,0.044427123928293066
GR,1,2003.0,9,0.012470771628994544
GR,1,2003.0,10,0.005455962587685113
GR,1,2003.0,88,0.017926734216679657
GR,2,2005.0,0,0.11388196176226101
GR,2,2005.0,1,0.09559434746467166
GR,2,2005.0,2,0.13216957605985039
GR,2,2005.0,3,0.1600166251039069
GR,2,2005.0,4,0.12011637572734829
GR,2,2005.0,5,0.1770573566084788
GR,2,2005.0,6,0.09102244389027432
GR,2,2005.0,7,0.05943474646716542
GR,2,2005.0,8,0.025768911055694097
GR,2,2005.0,9,0.007065669160432253
GR,2,2005.0,10,0.0020781379883624274
GR,2,2005.0,88,0.015793848711554447
HU,1,2002.0,0,0.05519287833827893
HU,1,2002.0,1,0.045103857566765576
HU,1,2002.0,2,0.08664688427299704
HU,1,2002.0,3,0.1804154302670623
HU,1,2002.0,4,0.1311572700296736
HU,1,2002.0,5,0.23738872403560832
HU,1,2002.0,6,0.09910979228486647
HU,1,2002.0,7,0.06172106824925816
HU,1,2002.0,8,0.028486646884272996
HU,1,2002.0,9,0.007121661721068249
HU,1,2002.0,10,0.004154302670623145
HU,1,2002.0,77,0.004154302670623145
HU,1,2002.0,88,0.057566765578635014
HU,1,2002.0,99,0.0017804154302670622
HU,2,2005.0,0,0.12082777036048065
HU,2,2005.0,1,0.09145527369826435
HU,2,2005.0,2,0.16154873164218958
HU,2,2005.0,3,0.19559412550066757
HU,2,2005.0,4,0.1348464619492657
HU,2,2005.0,5,0.16688918558077437
HU,2,2005.0,6,0.06008010680907877
HU,2,2005.0,7,0.024699599465954607
HU,2,2005.0,8,0.00801068090787717
HU,2,2005.0,9,0.0020026702269692926
HU,2,2005.0,10,0.0026702269692923898
HU,2,2005.0,77,0.004005340453938585
HU,2,2005.0,88,0.027369826435246995
IE,1,2002.0,0,0.037037037037037035
IE,1,2002.0,1,0.07407407407407407
IE,1,2002.0,2,0.037037037037037035
IE,1,2002.0,3,0.1111111111111111
IE,1,2002.0,4,0.1111111111111111
IE,1,2002.0,5,0.2222222222222222
IE,1,2002.0,6,0.1111111111111111
IE,1,2002.0,7,0.07407407407407407
IE,1,2002.0,8,0.07407407407407407
IE,1,2002.0,9,0.07407407407407407
IE,1,2002.0,10,0.037037037037037035
IE,1,2002.0,99,0.037037037037037035
IE,1,2003.0,0,0.05420188960716062
IE,1,2003.0,1,0.05718547986076579
IE,1,2003.0,2,0.08204873197414221
IE,1,2003.0,3,0.11536548980606663
IE,1,2003.0,4,0.1372451516658379
IE,1,2003.0,5,0.19542516161113874
