country,year,middle_class_wealth_share
BH,1987,0.2791
BH,1988,0.2555
BH,1989,0.2544
BH,1990,0.2573
BH,1991,0.2791
BH,1992,0.279
BH,1993,0.2792
BH,1994,0.2791
BH,1995,0.2571
BH,1996,0.2599
BH,1997,0.2701
BH,1998,0.2695
BH,1999,0.2684
BH,2000,0.2677
BH,2001,0.2663
BH,2002,0.2655
BH,2003,0.2648
BH,2004,0.2636
BH,2005,0.2632
BH,2006,0.2688
BH,2007,0.3022
BH,2008,0.3196
BH,2009,0.3372
BH,2010,0.3284
BH,2011,0.3194
BH,2012,0.3111
BH,2013,0.2994
BH,2014,0.2793
BH,2015,0.2685
BH,2016,0.2684
BH,2017,0.2686
BH,2018,0.2685
BH,2019,0.2686
BH,2020,0.2686
BH,2021,0.2686
BH,2022,0.2685
BH,2023,0.2685
BH,2024,0.2684
BI,1980,0.3663
BI,1981,0.3664
BI,1982,0.3664
BI,1983,0.3663
BI,1984,0.3664
BI,1985,0.3664
BI,1986,0.3664
BI,1987,0.3664
BI,1988,0.3663
BI,1989,0.3664
BI,1990,0.3663
BI,1991,0.3664
BI,1992,0.3664
BI,1993,0.3629
BI,1994,0.3596
BI,1995,0.3537
BI,1996,0.3484
BI,1997,0.3373
BI,1998,0.3294
BI,1999,0.3332
BI,2000,0.3382
BI,2001,0.3457
BI,2002,0.35
BI,2003,0.3522
BI,2004,0.3555
BI,2005,0.3584
BI,2006,0.361
BI,2007,0.3596
BI,2008,0.3572
BI,2009,0.3551
BI,2010,0.3527
BI,2011,0.3513
BI,2012,0.3492
BI,2013,0.3464
BI,2014,0.3477
BI,2015,0.3488
BI,2016,0.3493
BI,2017,0.3502
BI,2018,0.3509
BI,2019,0.3517
BI,2020,0.3521
BI,2021,0.3521
BI,2022,0.352
BI,2023,0.3521
BI,2024,0.3521
BJ,1980,0.3438
BJ,1981,0.3439
BJ,1982,0.3439
BJ,1983,0.3438
BJ,1984,0.3439
BJ,1985,0.344
BJ,1986,0.3438
BJ,1987,0.3438
BJ,1988,0.344
BJ,1989,0.3441
BJ,1990,0.344
BJ,1991,0.3441
BJ,1992,0.344
BJ,1993,0.3438
BJ,1994,0.344
BJ,1995,0.3438
BJ,1996,0.3441
BJ,1997,0.3439
BJ,1998,0.3438
BJ,1999,0.3441
BJ,2000,0.3439
BJ,2001,0.344
BJ,2002,0.3439
BJ,2003,0.344
BJ,2004,0.3384
BJ,2005,0.3358
BJ,2006,0.3331
BJ,2007,0.3314
BJ,2008,0.3292
BJ,2009,0.3266
BJ,2010,0.3235
BJ,2011,0.3217
BJ,2012,0.3162
BJ,2013,0.3122
BJ,2014,0.3069
BJ,2015,0.2974
BJ,2016,0.318
BJ,2017,0.3333
BJ,2018,0.3518
BJ,2019,0.3566
BJ,2020,0.3611
BJ,2021,0.3642
BJ,2022,0.3641
BJ,2023,0.3642
BJ,2024,0.3642
BM,1980,0.3791
BM,1981,0.3789
BM,1982,0.3785
BM,1983,0.3782
BM,1984,0.378
BM,1985,0.3776
BM,1986,0.3773
BM,1987,0.3768
BM,1988,0.3766
BM,1989,0.3763
BM,1990,0.3759
BM,1991,0.3756
BM,1992,0.375
BM,1993,0.3746
BM,1994,0.3741
BM,1995,0.3737
BM,1996,0.3734
BM,1997,0.3729
BM,1998,0.3725
BM,1999,0.337
BM,2000,0.3717
BM,2001,0.3559
BM,2002,0.3696
BM,2003,0.3682
BM,2004,0.3659
BM,2005,0.364
BM,2006,0.3622
BM,2007,0.36
BM,2008,0.3567
BM,2009,0.3536
BM,2010,0.3511
BM,2011,0.3504
BM,2012,0.3494
BM,2013,0.349
BM,2014,0.3479
BM,2015,0.3467
BM,2016,0.3459
BM,2017,0.3453
BM,2018,0.3444
BM,2019,0.3433
BM,2020,0.3417
BM,2021,0.3417
BM,2022,0.3418
BM,2023,0.3419
BM,2024,0.3419
BN,1980,0.3771
BN,1981,0.377
BN,1982,0.377
BN,1983,0.3771
BN,1984,0.3771
BN,1985,0.377
BN,1986,0.3771
BN,1987,0.3771
BN,1988,0.3771
BN,1989,0.3771
BN,1990,0.377
BN,1991,0.3771
BN,1992,0.377
BN,1993,0.3772
BN,1994,0.3772
BN,1995,0.3771
BN,1996,0.3771
BN,1997,0.3432
BN,1998,0.3429
BN,1999,0.3771
BN,2000,0.3772
BN,2001,0.3771
BN,2002,0.3771
BN,2003,0.377
BN,2004,0.377
BN,2005,0.3772
BN,2006,0.3784
BN,2007,0.3792
BN,2008,0.38
BN,2009,0.3797
BN,2010,0.3802
BN,2011,0.381
BN,2012,0.381
BN,2013,0.3805
BN,2014,0.3791
BN,2015,0.3783
BN,2016,0.3772
BN,2017,0.3773
BN,2018,0.3777
BN,2019,0.3777
BN,2020,0.3777
BN,2021,0.3777
BN,2022,0.3777
BN,2023,0.3777
BN,2024,0.3777
BO,1980,0.2846
BO,1981,0.2849
BO,1982,0.2837
BO,1983,0.2896
BO,1984,0.2898
BO,1985,0.2899
BO,1986,0.2841
BO,1987,0.2838
BO,1988,0.2901
BO,1989,0.2835
BO,1990,0.2902
BO,1991,0.2894
BO,1992,0.2863
BO,1993,0.2835
BO,1994,0.289
BO,1995,0.284
BO,1996,0.2884
BO,1997,0.2839
BO,1998,0.2897
BO,1999,0.2903
BO,2000,0.2838
BO,2001,0.2701
BO,2002,0.2718
BO,2003,0.2715
BO,2004,0.2788
BO,2005,0.2831
BO,2006,0.2931
BO,2007,0.2721
BO,2008,0.2915
BO,2009,0.2996
BO,2010,0.2991
BO,2011,0.3072
BO,2012,0.3104
BO,2013,0.3055
BO,2014,0.311
BO,2015,0.3132
BO,2016,0.3129
BO,2017,0.3125
BO,2018,0.31
BO,2019,0.3146
BO,2020,0.3042
BO,2021,0.3117
BO,2022,0.3166
BO,2023,0.3177
BO,2024,0.3172
BQ,1980,0.2743
BQ,1981,0.2748
BQ,1982,0.2751
BQ,1983,0.2755
BQ,1984,0.2764
BQ,1985,0.2768
BQ,1986,0.2776
BQ,1987,0.2778
BQ,1988,0.2781
BQ,1989,0.2759
BQ,1990,0.2769
BQ,1991,0.2795
BQ,1992,0.28
BQ,1993,0.2813
BQ,1994,0.2828
BQ,1995,0.2905
BQ,1996,0.2912
BQ,1997,0.2929
BQ,1998,0.2941
BQ,1999,0.2953
BQ,2000,0.2957
BQ,2001,0.2971
BQ,2002,0.2981
BQ,2003,0.3003
BQ,2004,0.3026
BQ,2005,0.3037
BQ,2006,0.3052
BQ,2007,0.3061
BQ,2008,0.3075
BQ,2009,0.3085
BQ,2010,0.3093
BQ,2011,0.3118
BQ,2012,0.315
BQ,2013,0.3182
BQ,2014,0.3203
BQ,2015,0.3232
BQ,2016,0.327
BQ,2017,0.3298
BQ,2018,0.3323
BQ,2019,0.3356
BQ,2020,0.3394
BQ,2021,0.3398
BQ,2022,0.3398
BQ,2023,0.3397
BQ,2024,0.3396
BR,1820,0.2008
BR,1850,0.2004
BR,1880,0.2014
BR,1900,0.2046
BR,1910,0.2175
BR,1920,0.2149
BR,1930,0.2142
BR,1940,0.213
BR,1950,0.2142
BR,1960,0.2157
BR,1970,0.2146
BR,1980,0.2644
BR,1981,0.2643
BR,1982,0.2644
BR,1983,0.2642
BR,1984,0.2643
BR,1985,0.2644
BR,1986,0.2643
BR,1987,0.264
BR,1988,0.264
BR,1989,0.2642
BR,1990,0.264
BR,1991,0.2641
BR,1992,0.2642
BR,1993,0.2641
BR,1994,0.264
BR,1995,0.2643
BR,1996,0.264
BR,1997,0.2641
BR,1998,0.2642
BR,1999,0.2641
BR,2000,0.2641
BR,2001,0.2642
BR,2002,0.2621
BR,2003,0.2633
BR,2004,0.265
BR,2005,0.26
BR,2006,0.2605
BR,2007,0.2635
BR,2008,0.2647
BR,2009,0.2655
